Unit Id,Unit Isocode,Unit
kgj,kgj,Kilogram/Joule ( kg/J )
kgm,,Kilogram/Million BTU ( kg/MB )
tbt,tbt,Tonne/British Thermal Unit ( t/Btu )
tjl,tjl,Tonne/Joule ( t/Joul )
ttj,ttj,Tonne/Terajoule ( t/TJ )
lbb,lbb,US Pound/British Thermal Unit ( lb/Btu )
lbm,lbm,US Pound/Million BTU ( lb/MB )
GHG,GHG,Gram/hectogram ( g/hg )
GKG,GKG,Gram/kilogram ( g/kg )
KGK,M29,Kilogram/Kilogram ( kg/kg )
kgt,kgt,Kilogram/US Tonne ( kg/ton )
MPB,MPB,Mass parts per billion ( ppb(m) )
MPM,MPM,Mass parts per million ( ppm(m) )
MPT,MPT,Mass parts per trillion ( ppt(m) )
MGG,MGG,Milligram/gram ( mg/g )
MGK,NA,Milligram/kilogram ( mg/kg )
M%,M%,Percent mass ( %(m) )
M%O,M%O,Permille mass ( %O(m) )
tt,tt,Tonne/Tonne ( t/t )
lbt,lbt,US Pound/US Tonne ( lb/ton )
JMO,B15,Joule/Mol ( J/mol )
KJM,B44,Kilojoule/Mol ( KJ/mol )
GM,,Gram/Mol ( g/mol )
kml,kml,Kilogram/Kilogram Mole ( kg/kgm )
KGM,,Kilogram/Mol ( kg/mol )
lbl,lbl,US Pound/US Pound Mole ( lb/lbm )
B45,B45,Kilomol ( kmol )
MMO,C18,Millimol ( mmol )
MOL,C34,Mol ( mol )
TC3,TC3,1/cubic centimeter ( 1/cm3 )
TM3,,1/cubic meter ( 1/m3 )
PRM,PRM,Permeation Rate ( ug/c2m )
PMR,PMR,Permeation Rate SI ( kg/m2s )
P,P,Points ( P )
KVA,KVA,Kilovoltampere ( kVA )
KW,KWT,Kilowatt ( KW )
MVA,MVA,Megavoltampere ( MVA )
MGW,MAW,Megawatt ( VA )
MW,C31,Milliwatt ( mW )
D46,D46,Voltampere ( VAM )
W,WTT,Watt ( W )
bft,B0,British Thermal Unit/Cubic Ft ( Bt/ft3 )
bbl,bbl,British Thermal Unit/US Barrel ( Bt/bbl )
bgl,bgl,British Thermal Unit/US Gallon ( Bt/gal )
gj3,gj3,Gigajoule/1000 Cubic Meters ( GJ/tm3 )
gjm,gjm,Gigajoule/Cubic Meter ( GJ/m3 )
HPA,A97,Hectopascal ( hPa )
jm3,JM3,Joule/Cubic Meter ( J/m3 )
KPA,KPA,Kilopascal ( kPa )
MPA,MPA,Megapascal ( MPa )
MBA,MBR,Millibar ( mbar )
mbb,mbb,Million BTU/US Barrel ( MB/bbl )
C56,C56,Newton/Square millimeter ( N/mm2 )
PA,PAL,Pascal ( Pa )
BAR,BAR,bar ( bar )
1,C62,One ( One )
PPB,PPB,Parts per billion ( ppb )
PPM,59,Parts per million ( ppm )
PPT,PPT,Parts per trillion ( ppt )
%O,,Per mille ( %O )
%,P1,Percentage ( % )
KMN,F11,Kelvin/Minute ( K/min )
KMS,F12,Kelvin/Second ( K/s )
OCM,C60,Spec. Elec. Resistance ( Ohcm )
OM,C61,Spec. Elec. Resistance ( Ohmm )
JKK,B11,Spec. Heat Capacity ( J/kgK )
MMG,H68,Millimol/gram ( mmol/g )
MMK,D87,Millimol/kilogram ( m_/kg )
MOK,C19,Mol/kilogram ( mol/kg )
BQK,A18,Becquerel/kilogram ( Bq/kg )
KBK,B25,Kilobecquerel/kilogram ( kBq/kg )
btl,btl,British Thermal Unit/US Pound ( Btu/lb )
gjt,gjt,Gigajoule/US Tonne ( GJ/ton )
JKG,JKG,Joule/Kilogram ( J/kg )
KJK,KJK,Kilojoule/kilogram ( KJ/kg )
mbt,mbt,Million BTU/US Tonne ( MB/ton )
CMH,,Centimeter/hour ( cm/h )
2M,2M,Centimeter/second ( cm/s )
KMH,KMH,Kilometer/hour ( km/h )
MTS,X03,Meter/Hour ( m/h )
2X,2X,Meter/Minute ( m/min )
M/S,MTS,Meter/second ( m/s )
MMH,H67,Millimeter/hour ( mm/h )
MMS,C16,Millimeter/second ( mm/s )
MMA,H66,Millimeter/year ( mm/a )
MNM,C22,Millinewton/meter ( mN/m )
NM,4P,Newton/meter ( N/m )
GC,CEL,Degrees Celsius ( ÅãC )
FA,FAH,Fahrenheit ( ÅãF )
K,KEL,Kelvin ( K )
AA,,AA ( AAAAAA )
TST,,-1
TAG,DAY,Days ( Days )
10,DAY,Days ( d )
H,HUR,Hour ( h )
HR,HR,Hours ( HOU )
STD,HUR,Hours ( hrs )
MIS,B98,Microsecond ( ?s )
MS,C26,Millisecond ( ms )
MIN,MIN,Minute ( min )
MON,MON,Months ( Months )
NS,C47,Nanosecond ( ns )
PS,H70,Picosecond ( ps )
S,SEC,Second ( s )
WCH,WEE,Weeks ( Weeks )
JHR,ANN,Years ( yr )
WTL,WTL,Vaporization Speed ( kg/sm2 )
BB6,,-3
BBL,,-4
BCF,,-5
BUI,,-6
BUU,,-7
CTL,CTL,Centiliter ( Cl )
CCM,CMQ,Cubic centimeter ( cm3 )
CDM,DMQ,Cubic decimeter ( dm3 )
FT3,FTQ,Cubic foot ( ft3 )
IN3,INQ,Cubic inch ( Inch3 )
M3,MTQ,Cubic meter ( m3 )
MMQ,MMQ,Cubic millimeter ( mm3 )
YD3,YDQ,Cubic yard ( yd3 )
OZA,OZA,Fluid Ounce US ( foz US )
HL,HLT,Hectoliter ( hl )
L,LTR,Liter ( l )
4G,4G,Microliter ( ?l )
ML,MLT,Milliliter ( ml )
PT,PT,"Pint, US liquid ( pt US )"
QT,QTL,"Quart, US liquid ( qt US )"
GLL,GLL,US gallon ( gal US )
KMK,X02,Cubic meter/Cubic meter ( m3/m3 )
MLK,MLK,Milliliter/cubic meter ( ml/m3 )
V%,PV,Percent volume ( %(V) )
V%O,VPO,Permille volume ( %O(V) )
VPB,VPB,Volume parts per billion ( ppb(V) )
VPM,VPM,Volume parts per million ( ppm(V) )
VPT,VPT,Volume parts per trillion ( ppt(V) )
C3S,2J,Cubic centimeter/second ( cm3/s )
MQH,MQH,Cubic meter/Hour ( m3/h )
M3D,G52,Cubic meter/day ( m3/d )
M3S,MQS,Cubic meter/second ( m3/s )
GPH,G50,Gallons per hour (US) ( GPH US )
LPH,LPH,Liter per hour ( L/hr )
L2,L2,Liter/Minute ( l/min )
